Date,State,Units_Sold,Repo_Rate,Petrol_Price,Festive_Season,Type
2017-01-01,Maharashtra,773.04,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Delhi NCR,644.2,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Gujarat,515.36,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Tamil Nadu,472.41,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Karnataka,429.46,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Uttar Pradesh,429.46,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Punjab & Haryana,386.52,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Kerala,343.57,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,West Bengal,300.62,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Maharashtra,644.2,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Delhi NCR,536.83,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Gujarat,429.46,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Tamil Nadu,393.68,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Karnataka,357.89,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Uttar Pradesh,357.89,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Punjab & Haryana,322.1,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Kerala,286.31,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,West Bengal,250.52,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Maharashtra,515.36,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Delhi NCR,429.46,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Gujarat,343.57,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Tamil Nadu,314.94,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Karnataka,286.31,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Uttar Pradesh,286.31,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Punjab & Haryana,257.68,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Kerala,229.05,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,West Bengal,200.42,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Maharashtra,472.41,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Delhi NCR,393.68,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Gujarat,314.94,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Tamil Nadu,288.69,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Karnataka,262.45,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Uttar Pradesh,262.45,6.549671415301123,70.44418041559686,0,Actual
2017-01-01,Punjab & Haryana,236.2,6.549671415301123,70.44418041559686,0,Actual
